S.no,Car Name,Car Company,Car Image,ARAI Mileage,Fuel Type,Engine Displacement,No. of Cylinders,Max Power,Max Torque,Seating Capacity,Transmission Type,Fuel Tank Capacity,Body Type,Price,Price in Lakhs
1,Swift,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Swift/9226/1751527616116/front-left-side-47.jpg,25.75 kmpl,Petrol,1197 cc,3,80.46bhp@5700rpm,111.7Nm@4300rpm,5,Automatic,37 Litres,Hatchback,6.49 - 9.64,
2,Ertiga,Maruti,https://foujiadda.in/admin/uploads/vehicle/image1701185191.jpg,20.3 kmpl,Petrol,1462 cc,4,101.64bhp@6000rpm,139Nm@4300rpm,7,Automatic,45 Litres,MUV,9.12 - 13.4,
3,Fronx,Maruti,"https://images.timesdrive.in/photo/msid-151016779,thumbsize-364787,width-560,height-250,false/151016779.jpg",20.01 kmpl,Petrol,998 cc,3,98.69bhp@5500rpm,147.6Nm@2000-4500rpm,5,Automatic,37 Litres,SUV,7.54 - 13.06,
4,Brezza,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Brezza/10387/1753880871331/front-left-side-47.jpg,19.8 kmpl,Petrol,1462 cc,4,101.64bhp@6000rpm,136.8Nm@4400rpm,5,Automatic,48 Litres,SUV,8.69 - 14.14,
5,Dzire,Maruti,https://images.autox.com/uploads/cars/2024/11/maruti-suzuki-dzire-500x261.jpg,25.71 kmpl,Petrol,1197 cc,3,80bhp@5700rpm,111.7Nm@4300rpm,5,Automatic,37 Litres,Sedan,6.84 - 10.19,
6,Grand Vitara,Maruti,https://www.varunmaruti.com/uploads/products/colors/grandvitara-midnight-black1.png,27.97 kmpl,Petrol,1490 cc,3,91.18bhp@5500rpm,122Nm@3800-4800rpm,5,Automatic,45 Litres,SUV,11.42 - 20.68,
7,Baleno,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Baleno/10497/1697697558001/front-left-side-47.jpg,22.94 kmpl,Petrol,1197 cc,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,37 Litres,Hatchback,6.7 - 9.92,
8,Wagon R,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Wagon-R/10363/1741236373749/exterior-image-166.jpg,24.43 kmpl,Petrol,1197 cc,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,32 Litres,Hatchback,5.79 - 7.62,
9,Alto K10,Maruti,https://www.seyieauto.com/wp-content/uploads/2023/02/alto-k10-white.jpg,33.85 km/kg,CNG,998 cc,3,55.92bhp@5300rpm,82.1Nm@3400rpm,"4, 5",Manual,55 Litres,Hatchback,4.23 - 6.21,
10,Jimny,Maruti,https://www.evoindia.com/h-upload/uid/BEiXA1vEBLzh75XwuZCOGnS2EJ1RksHK.jpg,16.39 kmpl,Petrol,1462 cc,4,103bhp@6000rpm,134.2Nm@4000rpm,4,Automatic,40 Litres,SUV,12.76 - 14.96,
11,Celerio,Maruti,https://financialexpresswpcontent.s3.amazonaws.com/uploads/2021/11/Celerio-2.jpg,26 kmpl,Petrol,998 cc,3,65.71bhp@5500rpm,89Nm@3500rpm,5,Automatic,32 Litres,Hatchback,5.64 - 7.37,
12,Xl6,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/XL6/10378/1741241176726/front-left-side-47.jpg,20.27 kmpl,Petrol,1462 cc,4,101.64bhp@6000rpm,136.8Nm@4400rpm,6,Automatic,45 Litres,MUV,11.84 - 14.99,
13,Ignis,Maruti,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Ignis/10318/1738298075884/front-left-side-47.jpg,20.89 kmpl,Petrol,1197 cc,4,81.80bhp@6000rpm,113Nm@4200rpm,5,Automatic,32 Litres,Hatchback,5.85 - 8.12,
14,Eeco,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Eeco/10376/1708671417179/front-left-side-47.jpg,26.78 km/kg,CNG,1197 cc,4,70.67bhp@6000rpm,95Nm@3000rpm,"5, 7",Manual,65 Litres,Minivan,5.7 - 6.96,
15,S Presso,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/S-Presso/10348/Maruti-S-Presso-LXi/1687519307943/front-left-side-47.jpg,32.73 km/kg,CNG,998 cc,3,55.92bhp@5300rpm,82.1Nm@3400rpm,"4, 5",Manual,55 Litres,Hatchback,4.26 - 6.12,
16,Ciaz,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Ciaz/10346/1738211238794/front-left-side-47.jpg,20.04 kmpl,Petrol,1462 cc,4,103.25bhp@6000rpm,138Nm@4400rpm,5,Automatic,43 Litres,Sedan,9.41 - 12.31,
17,Invicto,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Invicto/9483/1688547077223/front-left-side-47.jpg,23.24 kmpl,Petrol,1987 cc,4,150.19bhp@6000rpm,188Nm@4400-5200rpm,"7, 8",Automatic,52 Litres,MUV,25.51 - 29.22,
18,Dzire Tour S,Maruti,https://stimg.cardekho.com/images/car-images/930x620/Maruti/Dzire-Tour-S/12461/1742387359920/Arctic-White_d6d9de.jpg,34.3 km/kg,CNG,1197 cc,3,76.43bhp@6000rpm,98.5Nm@4300rpm,5,Manual,55 liters,Sedan,6.82 - 7.77,
19,Ertiga Tour,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Ertiga-Tour/9617/1741068787046/front-left-side-47.jpg,26.08 km/kg,CNG,1462 cc,4,91.18bhp@6000rpm,122Nm@4400rpm,7,Manual,60 Litres,MUV,10.18 - 11.12,
20,Alto Tour H1,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Alto-Tour-H1/12517/1745058103119/front-left-side-47.jpg,33.4 km/kg,CNG,998 cc,3,55.92bhp@5300rpm,82.1Nm@3400rpm,"4, 5",Manual,55 Litres,Hatchback,4.97 - 5.87,
21,Eeco Cargo,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Eeco-Cargo/9449/1675860460463/front-left-side-47.jpg,27.05 km/kg,CNG,1197 cc,4,70.67bhp@6000rpm,95Nm@3000rpm,2,Manual,65 Litres,Minivan,5.84 - 7.17,
22,Wagon R Tour,Maruti,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Wagon-R-tour/9442/1675922710720/front-left-side-47.jpg,34.73 km/kg,CNG,998 cc,3,55.92bhp@5300rpm,82.1Nm@3400rpm,5,Manual,60 Litres,Hatchback,5.75 - 6.66,
23,Fortuner,Toyota,https://spn-sta.spinny.com/blog/20221202123514/Toyota-Fortuner.jpg,14.4 kmpl,Diesel,2755 cc,4,201.15bhp@3000-3420rpm,500Nm@1620-2820rpm,7,Automatic,80 Litres,SUV,36.05 - 52.34,
24,Innova Crysta,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Innova-Crysta/9612/1697698611076/front-left-side-47.jpg,14 kmpl,Diesel,2393 cc,4,147.51bhp@3400rpm,343Nm@1400-2800rpm,"7, 8",Manual,55 Litres,MUV,19.99 - 27.08,
25,Hyryder,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Hyryder/10910/1744114238786/front-left-side-47.jpg,27.97 kmpl,Petrol,1490 cc,3,91.18bhp@5500rpm,122Nm@4400-4800rpm,5,Automatic,45 Litres,SUV,11.34 - 19.99,
26,Land Cruiser 300,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Land-Cruiser-300/8448/1750750759371/front-left-side-47.jpg,11 kmpl,Petrol,3346 cc,6,304.41bhp@4000rpm,700Nm@1600-2600rpm,5,Automatic,110 Litres,SUV,231.0 - 241.0,231.0 - 241.0
27,Hilux,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Hilux/10924/1691990326111/front-left-side-47.jpg,10.4 kmpl,Diesel,2755 cc,4,201.15bhp@3000-3400rpm,500Nm@1600-2800rpm,5,Automatic,80 Litres,Pickup Truck,304.0 - 379.0,304.0 - 379.0
28,Camry,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Camry/11344/1733916451269/front-left-side-47.jpg,25.49 kmpl,Petrol,2487 cc,4,227bhp@6000rpm,221Nm@3600-5200rpm,5,Automatic,50 Litres,Sedan,48.5,
29,Glanza,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Glanza/10231/1686812796183/front-left-side-47.jpg,22.94 kmpl,Petrol,1197 cc,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,37 Litres,Hatchback,6.9 - 10.0,
30,Innova Hycross,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Innova-Hycross/10929/1749732632021/front-left-side-47.jpg,23.24 kmpl,Petrol,1987 cc,4,183.72bhp@6600rpm,188Nm@4398-5196rpm,"7, 8",Automatic,52 Litres,MUV,19.14 - 32.58,
31,Vellfire,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Vellfire/10337/1749879912109/front-left-side-47.jpg,19.28 kmpl,Petrol,2487 cc,4,190.42bhp@6000rpm,240Nm@4296-4500rpm,7,Automatic,60 Litres,MUV,122.0 - 132.0,122.0 - 132.0
32,Taisor,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Taisor/11606/1741756199300/front-left-side-47.jpg,20 kmpl,Petrol,998 cc,3,98.69bhp@5500rpm,147.6Nm@2000-4500rpm,5,Automatic,37 Litres,SUV,7.76 - 13.06,
33,Rumion,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Rumion/8650/1741755317177/front-left-side-47.jpg,20.11 kmpl,Petrol,1462 cc,4,101.64bhp@6000rpm,136.8Nm@4400rpm,7,Automatic,45 Litres,MUV,10.66 - 13.96,
34,Fortuner Legender,Toyota,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Fortuner-Legender/10229/1749726924621/front-left-side-47.jpg,14.4 kmpl,Diesel,2755 cc,4,201.15bhp@3000-3400rpm,500Nm@1600-2800rpm,7,Automatic,80 liters,SUV,44.51 - 50.09,
35,City,Honda,https://stimg.cardekho.com/images/carexteriorimages/930x620/Honda/City/12667/1750410975226/front-left-side-47.jpg,18.4 kmpl,Petrol,1498 cc,4,119.35bhp@6600rpm,145Nm@4300rpm,5,Automatic,,Sedan,,12.38 - 16.65
36,Amaze,Honda,https://stimg.cardekho.com/images/carexteriorimages/930x620/Honda/Amaze/12185/1751289124905/front-left-side-47.jpg,19.46 kmpl,Petrol,1199 cc,4,89bhp@6000rpm,110Nm@4800rpm,5,Automatic,35 Litres,Sedan,,8.1 - 11.2
37,Elevate,Honda,https://stimg.cardekho.com/images/carexteriorimages/930x620/Honda/Elevate/9533/1751533499774/front-left-side-47.jpg,16.92 kmpl,Petrol,1498 cc,4,119bhp@6600rpm,145Nm@4300rpm,5,Automatic,40 Litres,SUV,,11.91 - 16.83
38,City Hybrid,Honda,https://media.zigcdn.com/media/model/2023/Mar/city-e-hev_360x240.jpg,27.13 kmpl,Petrol,1498 cc,4,96.55bhp@5600-6400rpm,127Nm@4500-5000rpm,5,Automatic,,Sedan,,19.9
39,Amaze 2Nd Gen,Honda,https://stimg.cardekho.com/images/carexteriorimages/930x620/Honda/Amaze-2nd-Gen/10519/1754477167669/front-left-side-47.jpg,18.3 kmpl,Petrol,1199 cc,4,88.50bhp@6000rpm,110Nm@4800rpm,5,Automatic,35 Litres,Sedan,,7.63 - 8.53
